"","pvalue","ARI","Gene","TruePvalue","Clustering","Thinning","GeneSymbol"
"1",1.88787806569695e-68,0.477523716648093,"ENSG00000116649",0,"Univariate","Conditional","SRM"
"2",1.37601254347137e-102,0.551940330248396,"ENSG00000179051",0,"Univariate","Conditional","RCC2"
"3",5.37962274746982e-67,0.494614540304623,"ENSG00000004487",0,"Univariate","Conditional","KDM1A"
"4",7.71101823204326e-153,0.567818109716072,"ENSG00000117632",0,"Univariate","Conditional","STMN1"
"5",5.41069129178905e-109,0.539225894636707,"ENSG00000132780",0,"Univariate","Conditional","NASP"
"6",9.63651787144293e-105,0.515943867261918,"ENSG00000116221",0,"Univariate","Conditional","MRPL37"
"7",5.25972257184392e-138,0.554662834441691,"ENSG00000163399",0,"Univariate","Conditional","ATP1A1"
"8",9.56961433996499e-61,0.338571441148342,"ENSG00000066294",0,"Univariate","Conditional","CD84"
"9",9.76236381657027e-73,0.45795902795989,"ENSG00000143198",0,"Univariate","Conditional","MGST3"
"10",1.95358348660022e-135,0.591870173176381,"ENSG00000069275",0,"Univariate","Conditional","NUCKS1"
"11",1.83422246853434e-112,0.569505399201629,"ENSG00000117691",0,"Univariate","Conditional","NENF"
"12",8.55941294580628e-80,0.459683086523407,"ENSG00000143799",0,"Univariate","Conditional","PARP1"
"13",6.10643546715559e-89,0.47011084678759,"ENSG00000134308",0,"Univariate","Conditional","YWHAQ"
"14",3.11828584690322e-112,0.483897242838355,"ENSG00000143870",0,"Univariate","Conditional","PDIA6"
"15",6.2776559345966e-78,0.425413218490372,"ENSG00000138095",0,"Univariate","Conditional","LRPPRC"
"16",2.63257593641118e-114,0.550670692667494,"ENSG00000115355",0,"Univariate","Conditional","CCDC88A"
"17",1.2024860441298e-170,0.698535760776837,"ENSG00000118640",0,"Univariate","Conditional","VAMP8"
"18",1.28231572821066e-82,0.515884183611377,"ENSG00000158417",0,"Univariate","Conditional","EIF5B"
"19",2.93761792328943e-66,0.477747045139124,"ENSG00000175701",0,"Univariate","Conditional","MTLN"
"20",6.45844203056926e-155,0.682015903907745,"ENSG00000152082",0,"Univariate","Conditional","MZT2B"
"21",4.79059485007157e-81,0.472506378282773,"ENSG00000091436",0,"Univariate","Conditional","MAP3K20"
"22",2.27055701641041e-90,0.484585400597513,"ENSG00000115541",0,"Univariate","Conditional","HSPE1"
"23",8.34294653109591e-88,0.435940467184101,"ENSG00000055044",0,"Univariate","Conditional","NOP58"
"24",3.7476878210617e-188,0.68911265479243,"ENSG00000114942",0,"Univariate","Conditional","EEF1B2"
"25",3.02712231687934e-92,0.529585796187272,"ENSG00000132182",0,"Univariate","Conditional","NUP210"
"26",6.43452153200812e-68,0.403455584649458,"ENSG00000178035",0,"Univariate","Conditional","IMPDH2"
"27",1.89110303797424e-178,0.696726904876948,"ENSG00000233276",0,"Univariate","Conditional","GPX1"
"28",4.99119832466626e-93,0.515943867261918,"ENSG00000163938",0,"Univariate","Conditional","GNL3"
"29",1.35152175883541e-64,0.502423276350972,"ENSG00000073792",0,"Univariate","Conditional","IGF2BP2"
"30",2.98914023577075e-40,0.339703150227931,"ENSG00000004468",0,"Univariate","Conditional","CD38"
"31",2.49541189553067e-143,0.568892144676834,"ENSG00000163453",0,"Univariate","Conditional","IGFBP7"
"32",1.17905699549729e-120,0.54609330756891,"ENSG00000124882",0,"Univariate","Conditional","EREG"
"33",1.29799319864525e-65,0.452052349423573,"ENSG00000198498",0,"Univariate","Conditional","TMA16"
"34",1.24368753399809e-32,0.308035656010464,"ENSG00000134986",0,"Univariate","Conditional","NREP"
"35",3.27570141918057e-63,0.405124930832142,"ENSG00000213585",0,"Univariate","Conditional","VDAC1"
"36",4.58178949412906e-102,0.47572644931665,"ENSG00000184584",0,"Univariate","Conditional","STING1"
"37",1.04833831860632e-119,0.594842278707474,"ENSG00000145912",0,"Univariate","Conditional","NHP2"
"38",2.80530773964413e-63,0.394705811341887,"ENSG00000124766",0,"Univariate","Conditional","SOX4"
"39",1.12778477594354e-42,0.337394684840654,"ENSG00000204287",0,"Univariate","Conditional","HLA-DRA"
"40",1.24810110255154e-111,0.525553135003106,"ENSG00000137288",0,"Univariate","Conditional","UQCC2"
"41",5.20509417784924e-116,0.546393118660723,"ENSG00000137309",0,"Univariate","Conditional","HMGA1"
"42",9.47535656162022e-75,0.474829073127857,"ENSG00000124767",0,"Univariate","Conditional","GLO1"
"43",5.42382490627736e-147,0.594015561918756,"ENSG00000096384",0,"Univariate","Conditional","HSP90AB1"
"44",2.32047578303051e-83,0.520055856770045,"ENSG00000118418",0,"Univariate","Conditional","HMGN3"
"45",2.51728093748405e-114,0.56992709466261,"ENSG00000106268",0,"Univariate","Conditional","NUDT1"
"46",8.58596342933931e-70,0.448720821240177,"ENSG00000106263",0,"Univariate","Conditional","EIF3B"
"47",8.23614034046966e-39,0.393974259091746,"ENSG00000122644",0,"Univariate","Conditional","ARL4A"
"48",8.70313970745562e-82,0.533162560492685,"ENSG00000006625",0,"Univariate","Conditional","GGCT"
"49",4.67156265836926e-116,0.570019275479657,"ENSG00000106355",0,"Univariate","Conditional","LSM5"
"50",1.42102255340732e-71,0.395959406584155,"ENSG00000106211",0,"Univariate","Conditional","HSPB1"
"51",1.00566504844336e-70,0.416492258526125,"ENSG00000166508",0,"Univariate","Conditional","MCM7"
"52",4.99911260845578e-72,0.391499603058221,"ENSG00000105967",0,"Univariate","Conditional","TFEC"
