"pvalues","Fission"
0.00167593518338952,"Marginal thinning"
0.186511109960366,"Conditional thinning"
0.00413520979865477,"Marginal thinning"
0.508264209724771,"Conditional thinning"
5.51892514807877e-05,"Marginal thinning"
0.770249770486114,"Conditional thinning"
0.000218325744531096,"Marginal thinning"
0.650577050629113,"Conditional thinning"
0.00402013223517031,"Marginal thinning"
0.729174060168387,"Conditional thinning"
0.0256054258911123,"Marginal thinning"
0.777917216032244,"Conditional thinning"
0.00282040101096654,"Marginal thinning"
0.720250829947241,"Conditional thinning"
0.00192011724871095,"Marginal thinning"
0.54679906077156,"Conditional thinning"
0.000346158598139995,"Marginal thinning"
0.531247804454106,"Conditional thinning"
0.00183193864951453,"Marginal thinning"
0.171125253453513,"Conditional thinning"
0.00938238515905683,"Marginal thinning"
0.337549031596966,"Conditional thinning"
0.0452195977666914,"Marginal thinning"
0.0570442894603832,"Conditional thinning"
0.000362677749887351,"Marginal thinning"
0.378529286132777,"Conditional thinning"
0.00489504869958184,"Marginal thinning"
0.274353730717074,"Conditional thinning"
0.0227276582066367,"Marginal thinning"
0.88335737274119,"Conditional thinning"
0.0041517485167436,"Marginal thinning"
0.652507738672949,"Conditional thinning"
0.00286733567891929,"Marginal thinning"
0.228761167385467,"Conditional thinning"
0.00294763385819431,"Marginal thinning"
0.775265700732717,"Conditional thinning"
0.00465202200701814,"Marginal thinning"
0.651794807075773,"Conditional thinning"
0.0120709715625724,"Marginal thinning"
0.644588793841881,"Conditional thinning"
4.24373850682358e-05,"Marginal thinning"
0.488673220297063,"Conditional thinning"
0.000340398865571282,"Marginal thinning"
0.451053204504343,"Conditional thinning"
0.00347266348585796,"Marginal thinning"
0.937871632376523,"Conditional thinning"
0.047340701837619,"Marginal thinning"
0.289268310763488,"Conditional thinning"
0.340173389130897,"Marginal thinning"
0.849130301120477,"Conditional thinning"
0.00245757970917307,"Marginal thinning"
0.355464040481862,"Conditional thinning"
0.000103144884249001,"Marginal thinning"
0.0853350086349339,"Conditional thinning"
0.00368782711600335,"Marginal thinning"
0.71551460921491,"Conditional thinning"
0.00137266071670562,"Marginal thinning"
0.636054311664897,"Conditional thinning"
0.00556255673284813,"Marginal thinning"
0.417128165651721,"Conditional thinning"
0.00755599313550037,"Marginal thinning"
0.656360151043127,"Conditional thinning"
0.00241450615984048,"Marginal thinning"
0.983937164256444,"Conditional thinning"
0.0181227032069835,"Marginal thinning"
0.74692352044663,"Conditional thinning"
0.167685779736538,"Marginal thinning"
0.815620998797152,"Conditional thinning"
8.41106955224316e-05,"Marginal thinning"
0.652541694796974,"Conditional thinning"
0.294597045412632,"Marginal thinning"
0.842703008324202,"Conditional thinning"
0.00198073150897061,"Marginal thinning"
0.93009248075696,"Conditional thinning"
0.00366504930072196,"Marginal thinning"
0.398980148008569,"Conditional thinning"
0.000171600766693518,"Marginal thinning"
0.891015578389927,"Conditional thinning"
4.86361939298531e-06,"Marginal thinning"
0.339487056171151,"Conditional thinning"
0.219947100615518,"Marginal thinning"
0.30236058425727,"Conditional thinning"
0.00385832451306045,"Marginal thinning"
0.226866247552392,"Conditional thinning"
0.00089136609221381,"Marginal thinning"
0.722816294377877,"Conditional thinning"
0.00363491407640711,"Marginal thinning"
0.730605271869871,"Conditional thinning"
0.0202754220165372,"Marginal thinning"
0.63188820736121,"Conditional thinning"
0.0163985640042464,"Marginal thinning"
0.827208117815751,"Conditional thinning"
0.00206559213761571,"Marginal thinning"
0.121451036097362,"Conditional thinning"
0.00108350017848564,"Marginal thinning"
0.252342448720167,"Conditional thinning"
0.0477212330955306,"Marginal thinning"
0.703442570817684,"Conditional thinning"
0.00329428081142368,"Marginal thinning"
0.662012523186447,"Conditional thinning"
0.000394214628591294,"Marginal thinning"
0.397623419771745,"Conditional thinning"
0.0138137365018544,"Marginal thinning"
0.793741783278126,"Conditional thinning"
0.0358355022059633,"Marginal thinning"
0.0452151945381606,"Conditional thinning"
0.000118577349651627,"Marginal thinning"
0.544547215650926,"Conditional thinning"
0.00973689195104916,"Marginal thinning"
0.563775295543233,"Conditional thinning"
0.000587284503174587,"Marginal thinning"
1,"Conditional thinning"
0.00215021592076904,"Marginal thinning"
0.41140529973911,"Conditional thinning"
0.000663320794537437,"Marginal thinning"
0.32723515100909,"Conditional thinning"
0.0183706866678646,"Marginal thinning"
0.845153965468811,"Conditional thinning"
0.175077625760237,"Marginal thinning"
0.876530933264034,"Conditional thinning"
0.000170133917360024,"Marginal thinning"
0.624487689350662,"Conditional thinning"
0.000495283531594335,"Marginal thinning"
0.579225112557143,"Conditional thinning"
0.00113126938744328,"Marginal thinning"
0.90049102520565,"Conditional thinning"
0.00186448413714428,"Marginal thinning"
0.298068559333456,"Conditional thinning"
4.88459867634212e-06,"Marginal thinning"
0.49710722975017,"Conditional thinning"
5.42526353180061e-05,"Marginal thinning"
0.435768625891109,"Conditional thinning"
0.0219108821101813,"Marginal thinning"
0.499427699168316,"Conditional thinning"
3.84843794317965e-05,"Marginal thinning"
0.233862260142779,"Conditional thinning"
0.0431560953198439,"Marginal thinning"
0.411687641264302,"Conditional thinning"
0.0043486051645594,"Marginal thinning"
0.992148299105422,"Conditional thinning"
0.000326730542983673,"Marginal thinning"
0.315178592572715,"Conditional thinning"
0.00115464299479741,"Marginal thinning"
0.913129630331245,"Conditional thinning"
0.00080730216205489,"Marginal thinning"
0.663431181937568,"Conditional thinning"
0.00642532418898352,"Marginal thinning"
0.287723911760757,"Conditional thinning"
0.0119561413430258,"Marginal thinning"
0.617667925082653,"Conditional thinning"
0.00760001261130389,"Marginal thinning"
0.504179160095578,"Conditional thinning"
0.000500774102476113,"Marginal thinning"
0.798067703878276,"Conditional thinning"
0.00220061194626561,"Marginal thinning"
0.769476125506996,"Conditional thinning"
0.00314886979574827,"Marginal thinning"
0.327956695317636,"Conditional thinning"
0.0100844655566111,"Marginal thinning"
0.791703783794919,"Conditional thinning"
0.00474687110349527,"Marginal thinning"
0.566216174576396,"Conditional thinning"
0.0099095439259758,"Marginal thinning"
0.616948371851606,"Conditional thinning"
0.06575406810425,"Marginal thinning"
0.201933281370414,"Conditional thinning"
0.000187029164253739,"Marginal thinning"
0.560687463473728,"Conditional thinning"
0.333536339560202,"Marginal thinning"
0.98118738191955,"Conditional thinning"
0.000307151175501379,"Marginal thinning"
0.869532733762756,"Conditional thinning"
0.00197536556381123,"Marginal thinning"
0.0539060826491071,"Conditional thinning"
0.106795338206751,"Marginal thinning"
0.807216199859694,"Conditional thinning"
0.00692437873849901,"Marginal thinning"
0.241423526878703,"Conditional thinning"
0.00364646842718434,"Marginal thinning"
0.947636156263365,"Conditional thinning"
0.000172228027511506,"Marginal thinning"
0.286035620854071,"Conditional thinning"
0.00432875925224712,"Marginal thinning"
0.633751715325523,"Conditional thinning"
5.210257562508e-05,"Marginal thinning"
0.864400360117727,"Conditional thinning"
0.132862678182265,"Marginal thinning"
0.522168350004939,"Conditional thinning"
0.00827226267668182,"Marginal thinning"
